Vendor Name,Department,Last 12 months Cost (USD),1-line Description on what the Vendor does,Suggestions (Consolidate / Terminate / Optimize costs),Recommendation Rationale
(Blank),G&A,$137,Unidentified vendor with no name provided for classification.,Terminate,Unidentified vendor at $137/yr; no name or purpose to justify retention. Investigate and terminate.
Escape Art D.O.O.,G&A,$133,Croatian escape room venue offering team-building entertainment experiences.,Terminate,Trivial $133/yr escape room team-building spend; book ad-hoc without vendor record.
Fero-Term,Facilities,$131,"Croatian supplier of heating, plumbing, or facilities maintenance materials.",Terminate,Negligible $131/yr facilities materials spend; consolidate into primary facilities supplier.
Ustanova Za Zdravstvenu Skrb P.P.,G&A,$131,Croatian occupational healthcare institution providing employee medical services.,Optimize,Occupational healthcare is a regulatory/compliance requirement in Croatia; retain and optimize.
Vistaprint,Marketing,$130,Online print-on-demand platform for branded marketing materials and merchandise.,Terminate,Trivial $130/yr print spend; handle ad-hoc or consolidate into primary marketing materials vendor.
Teb Poslovno Savjetovanje D.O.O.,Finance,$129,Croatian financial and business advisory consulting services firm.,Terminate,"Minimal $129/yr Croatian financial advisory spend; likely one-time engagement, no ongoing need."
Illunis D.O.O.,Marketing,$128,Croatian creative or digital marketing agency providing design services.,Consolidate,Another small Croatian marketing agency; consolidate with other regional marketing vendors.
The Cook Kitchen,G&A,$123,Catering or food service provider for office meals and events.,Consolidate,One of multiple small catering vendors; consolidate with Kat's Kitchen/Soho Kitchen to one provider.
Australian Taxation Office (Ato),Finance,$123,Australian government tax authority collecting statutory tax obligations.,Optimize,"Statutory government tax obligation; non-terminable, ensure filings are accurate and timely."
Capitol Services,Legal,$120,US registered agent and corporate compliance filing services provider.,Optimize,Registered agent and compliance filing is a legal requirement; retain and optimize.
Bonus Opinio D.O.O.,Marketing,$120,Croatian market research and customer opinion survey services firm.,Terminate,Trivial $120/yr market research spend; insufficient scale to deliver meaningful insights.
Dhl Express (Uk) Ltd,Facilities,$119,UK express international parcel and freight shipping logistics service.,Consolidate,Overlaps with DHL global and Parcelforce; consolidate all UK/global shipping into one provider.
Kat'S Kitchen D.O.O.,G&A,$119,Croatian catering service providing office food and meal services.,Consolidate,One of multiple small catering vendors; consolidate into a single catering provider per office.
Soho Kitchen Ltd,G&A,$104,UK catering or food service provider for office and corporate events.,Consolidate,"Overlaps with other catering vendors (The Cook Kitchen, etc.); consolidate to one UK caterer."
Fortis Trade J.D.O.O.,Facilities,$95,Croatian trade and supply company providing office or facilities goods.,Terminate,Negligible $95/yr facilities supply spend; consolidate into primary office supplies vendor.
Till Trade D.O.O.,Facilities,$93,Croatian supplier of office or facilities equipment and materials.,Terminate,Trivial $93/yr facilities materials spend; consolidate into primary office supplies vendor.
Pret A Manger,G&A,$92,UK quick-service sandwich and coffee chain for employee meals and catering.,Terminate,"Negligible $92/yr food spend; ad-hoc expense, not a vendor relationship worth managing."
Axil Coffee Roasters,G&A,$89,Specialty coffee roaster supplying office coffee and beverages.,Terminate,Trivial $89/yr coffee spend; consolidate into primary office catering or pantry vendor.
Pepco Croatia D.O.O.,Facilities,$89,Croatian discount retail chain supplying low-cost office and facilities goods.,Terminate,Negligible $89/yr discount retail purchases; handle ad-hoc without vendor record.
Lemia D.O.O.,Facilities,$88,Croatian supplier of facilities or office maintenance goods and services.,Terminate,Trivial $88/yr facilities spend; consolidate into primary facilities maintenance vendor.
Retriever Llc,Marketing,$88,Media monitoring and press clipping intelligence services provider.,Terminate,"At $88/yr, media monitoring is negligible; consolidate into primary PR/comms tooling."
Meluba Limited,Professional Services,$88,Business consulting or professional services firm supporting operations.,Terminate,Minimal $88/yr professional services; likely completed one-time engagement with no ongoing value.
London Waste Management,Facilities,$86,UK commercial waste collection and disposal management services provider.,Optimize,Waste management is a required facilities service for London office; retain and optimize.
Hilton Garden Inn - Zagreb City Hotels D.O.O.,G&A,$82,Zagreb Hilton hotel providing accommodations for business travel and events.,Terminate,"Trivial $82/yr hotel spend; book through corporate travel platform, no direct vendor needed."
Lider Media D.O.O.,Marketing,$80,Croatian business media publisher for corporate advertising and press coverage.,Terminate,Negligible $80/yr media spend; too small to drive meaningful brand or press impact.
Uptime Robot Service Provider Ltd,Engineering,$78,Website and server uptime monitoring SaaS platform with alerting capabilities.,Terminate,"At $78/yr likely free tier; redundant with primary engineering monitoring tools (e.g., Datadog)."
Mithras Consultants,Professional Services,$77,Specialist consulting firm providing advisory or technical project services.,Terminate,Minimal $77/yr consulting spend; likely completed one-time project with no ongoing need.
6Sense Insights Inc,Marketing,$76,AI-driven B2B account engagement and revenue intelligence marketing platform.,Terminate,Spend is $76/yr—far below $5K threshold; negligible usage of an otherwise strategic marketing platform.
Ico,Legal,$67,UK Information Commissioner's Office data protection registration and compliance fee.,Optimize,UK data protection registration is a mandatory compliance fee; retain and confirm correct fee level.
Sportska Udruga Split,G&A,$66,Croatian sports association providing employee wellness or team-building activities.,Terminate,Spend is $66/yr with no strategic value; minor wellness perk easily handled internally.
Prezzee,G&A,$64,Digital gift card platform used for employee rewards and corporate gifting.,Terminate,Spend is $64/yr; negligible gifting volume with no strategic value at this scale.
Inet Telecoms Ltd.,Engineering,$63,UK telecom provider supplying internet connectivity and networking services.,Terminate,Spend is $63/yr; too low to represent meaningful connectivity—likely legacy or unused service.
Wolt Enterprises Oy,G&A,$62,European food delivery platform used for employee meal ordering and catering.,Terminate,Spend is $62/yr; trivial food delivery spend with no strategic value.
Platinum Office D.O.O.,Facilities,$62,Croatian office supplies and stationery procurement services provider.,Terminate,"Spend is $62/yr; negligible office supplies spend, consolidate into a primary supplier."
Snappy Snaps,Marketing,$59,UK photo printing and imaging services for marketing and promotional materials.,Terminate,Spend is $59/yr; trivial photo printing spend with no ongoing strategic need.
New Block D.O.O.,Engineering,$56,Croatian IT or software development services company.,Terminate,Spend is $56/yr; appears to be a completed or negligible IT engagement with no ongoing value.
Cayman Islands Government,Legal,$56,Cayman Islands government statutory fees for corporate registration and compliance.,Optimize,Mandatory government statutory/compliance fee for corporate registration; retain and verify necessity.
Officeworks,Facilities,$56,Australian office supplies and stationery retailer for workplace procurement needs.,Terminate,Spend is $56/yr; trivial office supplies purchase easily consolidated into primary procurement.
Click Send Pty Ltd,Marketing,$55,"Australian cloud-based SMS, email, and direct mail messaging platform for business communications.",Terminate,Spend is $55/yr; negligible messaging usage—likely unused or replaceable by existing tools.
Kall Kwik Centre 565,Facilities,$55,UK print and copy centre providing business printing and document services.,Terminate,Spend is $55/yr; trivial printing spend with no strategic value.
Shilton Hospitality Llp,G&A,$55,UK hospitality venue providing corporate dining or event hosting services.,Terminate,Spend is $55/yr; negligible hospitality spend with no ongoing strategic need.
Axosoft Gitkraken,Engineering,$54,Git GUI client and repository management tool for software development teams.,Terminate,Spend is $54/yr; likely one or two seats—negligible and replaceable by free Git tools.
Istra Wine,G&A,$53,Croatian wine retailer likely used for corporate entertainment or team events.,Terminate,Spend is $53/yr; trivial entertainment purchase with no strategic value.
Gophr,Facilities,$52,UK same-day courier and on-demand delivery service for business parcels.,Terminate,"Spend is $52/yr; negligible courier spend, consolidate into primary shipping vendor."
Pan-Pek D.O.O.,Facilities,$50,Croatian bakery chain likely used for office catering or team food purchases.,Terminate,Spend is $50/yr; trivial catering purchase with no strategic value.
Uber *Eats,Facilities,$50,On-demand food delivery platform used for employee meals or office catering.,Terminate,Spend is $50/yr; negligible food delivery spend with no strategic value.
Fedex Express Uk Transportation Ltd,Facilities,$47,UK express courier and freight shipping service for business document and parcel delivery.,Terminate,"Spend is $47/yr; trivial shipping volume, consolidate into a primary courier provider."
Garden City D.O.O.,Facilities,$45,Croatian retail or food vendor likely used for office supplies or catering.,Terminate,Spend is $45/yr; negligible retail purchase with no strategic value.
Livingstone,Facilities,$41,"Australian medical, laboratory, or office supply distributor for workplace procurement.",Terminate,Spend is $41/yr; trivial supply purchase with no strategic need.
Ekupi D.O.O.,Facilities,$40,Croatian e-commerce retailer used for office equipment or miscellaneous supply purchases.,Terminate,Spend is $40/yr; negligible e-commerce purchase with no ongoing strategic value.
Farmacia - Specijalizirana Prodavaonica D.O.O.,Facilities,$36,Croatian specialised pharmacy retailer for employee health or first-aid supply purchases.,Terminate,Spend is $36/yr; trivial first-aid supply purchase easily handled via primary procurement.
Cupcake Central (Life Is Sweet Bakery),Facilities,$35,Australian bakery providing cupcakes and baked goods for office events or team catering.,Terminate,Spend is $35/yr; trivial catering purchase with no strategic value.
Post Office Ltd,Facilities,$32,"UK postal service used for business mail, parcels, and document delivery.",Terminate,Spend is $32/yr; negligible postal spend with no strategic value.
Currys Pc World,Engineering,$30,UK consumer electronics and computing retailer for hardware and tech equipment purchases.,Terminate,"Spend is $30/yr; trivial electronics purchase, consolidate into primary IT procurement channel."
Brodomerkur D.D.,Facilities,$29,Croatian nautical and general retail store for miscellaneous office or facilities purchases.,Terminate,Spend is $29/yr; negligible miscellaneous retail purchase with no strategic value.
Sport Vision D.O.O.,G&A,$26,Croatian sports apparel and equipment retailer likely used for team or employee purchases.,Terminate,Spend is $26/yr; trivial sports retail purchase with no strategic value.
Harissa D.O.O.,Facilities,$21,Croatian food or catering vendor likely used for office meals or team events.,Terminate,Spend is $21/yr; negligible catering purchase with no strategic value.
Specijalisticka Ordinacija Medicine Rada I Sporta Ina Kardos,G&A,$20,Croatian occupational and sports medicine clinic providing mandatory employee health assessments.,Optimize,Mandatory occupational health screening under Croatian law; retain and consolidate with other clinics.
Specijalisticka Ordinacija Medicine Rada Helena Blazic,G&A,$20,Croatian occupational medicine clinic providing mandatory workplace health screenings for employees.,Optimize,Mandatory occupational health screening under Croatian law; consolidate with other occupational clinics.
Ustanova Za Medicinu Rada I Sporta Dr. Novacki,G&A,$20,Croatian occupational and sports medicine institution providing employee health and fitness assessments.,Optimize,Mandatory occupational health assessment under Croatian law; consolidate with other occupational clinics.
M&S Simply Food,Facilities,$19,"UK food retailer used for office catering, employee meals, or team event refreshments.",Terminate,Spend is $19/yr; trivial food purchase with no strategic value.
Bakemono Bakers Melbourne,Facilities,$18,Australian artisan bakery providing baked goods for office events or team catering in Melbourne.,Terminate,Spend is $18/yr; trivial bakery purchase with no strategic value.
Coles,Facilities,$18,"Australian supermarket chain used for office grocery, catering, and general supply purchases.",Terminate,Spend is $18/yr; negligible grocery purchase with no strategic value.
